batch,project,prolificId,questionSet,runRecords3,runRecords4,submitRecords3,submitRecords4,screener-prolific,screener-current-job,screener-programming-experience-obj,screener-language-proficiency-obj,screener-programming-experience-sub,screener-language-proficiency-sub,perceived-difficulty,attitudes-fear,attitudes-acceptance,codeExecutionSummary,cheat,BF_P_Sim,BF_AI_Sim,JPlag_P_Sim,JPlag_AI_Sim,leaveFullScreenTimes,Invalid
1,formal_easy_ransom_notes_with,60cf3ea49731e4fed5ce742e,easy_ransom_notes,0.1,1,0.1,1,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",1,1,4,2,3,5.666666667,6.5,1,,0.944444444,0.944444444,1,1,,
1,formal_easy_ransom_notes_with,60ddcd80bbeb3c7f8958f6bf,easy_ransom_notes,0.1,0.1,0.1,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",6,6,3,3,4,4.333333333,5.5,0,,0.782608696,1,,,,yes
1,formal_easy_ransom_notes_with,6452a0c8687cf626aa4dc721,easy_ransom_notes,0,0.1,0,0,Yes,Student specializing in IT-related fields.,5,5,3,4,3,3.333333333,7.5,0,,0.285714286,0.111111111,0,0,,yes
1,formal_easy_ransom_notes_with,657b106d15f391f12c30ee8d,easy_ransom_notes,0,1,0,0,Yes,Student specializing in IT-related fields.,1,1,2,2,3,2.666666667,6.5,1,,0.944444444,0.944444444,1,1,,
1,formal_easy_ransom_notes_with,659ecd99cbaea58e46b35186,easy_ransom_notes,1,1,0.1,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",9,5,4,3,3,4,7.5,1,,1,1,1,1,,
2,formal_easy_ransom_notes_with,5e91128ddf10df4440f6243f,easy_ransom_notes,0,1,0.1,0,Yes,Others.,4,3,3,3,4,2,7,1,,1,1,1,1,,
2,formal_easy_ransom_notes_with,60ce3a64dc89ad902dcd3e02,easy_ransom_notes,0.1,1,0,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",3,2,3,4,3,3.333333333,7.5,1,,1,1,1,1,,
2,formal_easy_ransom_notes_with,60db8f99cfcb1b050dbc66b5,easy_ransom_notes,1,1,0.1,1,Yes,Student specializing in IT-related fields.,3,0,3,2,3,2.333333333,8.5,1,,1,1,1,1,,
2,formal_easy_ransom_notes_with,610425405cd96682f2d3ff07,easy_ransom_notes,1,1,0.1,0,Yes,Student specializing in IT-related fields.,3,2,2,2,5,6,5.5,1,,1,1,1,1,,
2,formal_easy_ransom_notes_with,6159e83b6407a6d5345d3b99,easy_ransom_notes,1,1,0,1,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",2,1,2,3,3,4,9,1,,0.263157895,0.277777778,0,0,,
2,formal_easy_ransom_notes_with,6529416fca661cf7ee143821,easy_ransom_notes,1,1,0,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",3,3,3,3,5,8.666666667,6.5,1,,0.944444444,0.944444444,1,1,,
2,formal_easy_ransom_notes_with,65523123662559399b1aa48a,easy_ransom_notes,0,1,0,0,Yes,Student specializing in IT-related fields.,1,1,2,3,4,3.333333333,8.5,1,,1,1,1,1,,
2,formal_easy_ransom_notes_with,65b011d3c75e0c8536526b93,easy_ransom_notes,0,1,0,1,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",3,3,5,5,2,5.333333333,6.5,1,,0.5,0.5,0.857142857,1,,
2,formal_easy_ransom_notes_with,6609688e8e4fe9698ab13a66,easy_ransom_notes,1,1,0,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",10+,10+,4,3,3,4.333333333,5,1,,0.3,0.166666667,0,0,,
1,formal_easy_ransom_notes_without,5bf5893f3a426e00019e42bc,easy_ransom_notes,0.1,0,0,0,Yes,Others.,0,1,1,2,5,2.666666667,5,0,,1,1,1,1,,
1,formal_easy_ransom_notes_without,60ec51c51a3158a50ded8a3e,easy_ransom_notes,1,1,0,0,Yes,Student specializing in IT-related fields.,2,1,4,3,1,4.333333333,4.5,1,,0.388888889,0.388888889,0,0,,
1,formal_easy_ransom_notes_without,6171312b4f75ea6a71c23125,easy_ransom_notes,0.1,1,0,0,Yes,Others.,0,1,3,2,4,8.333333333,6.5,1,,1,1,1,1,,
1,formal_easy_ransom_notes_without,62e94c384f809b7d0831f4ea,easy_ransom_notes,0.1,1,0,0,Yes,Student specializing in IT-related fields.,1,0,2,2,4,8.333333333,7.5,1,,0.4,0.333333333,0.230769231,0.25,,
1,formal_easy_ransom_notes_without,65895cc810c582df1d708a65,easy_ransom_notes,1,1,0,0,Yes,Others.,3,2,3,2,2,4.333333333,8.5,1,,0.944444444,0.944444444,1,1,,
2,formal_easy_ransom_notes_without,5c093a3f600aff0001d7002c,easy_ransom_notes,1,1,0.1,1,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",10+,3,4,3,5,3,8.5,1,,0.944444444,0.944444444,1,1,,
2,formal_easy_ransom_notes_without,6114ba817968537bd89ef3c6,easy_ransom_notes,0.1,1,0.1,1,Yes,Others.,0,1,2,2,3,5,4.5,1,,1,1,1,1,,
2,formal_easy_ransom_notes_without,611d06c0bcc92ba3d7669ef6,easy_ransom_notes,0.1,0,0,0,Yes,Student specializing in IT-related fields.,1,0,2,3,4,5.666666667,3,0,,0.130434783,0.166666667,0,0,,yes
2,formal_easy_ransom_notes_without,612520bd6605794b27e6a0fd,easy_ransom_notes,0,1,0,1,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",10,8,3,4,2,5.666666667,7.5,1,YES,0.944444444,0.944444444,1,1,"{""3"":[2,3]}",
2,formal_easy_ransom_notes_without,629625e303590ce5fcbcc825,easy_ransom_notes,0.1,0.1,0,0,Yes,Others.,6,10+,4,4,5,0,10,0,,0.111111111,0.055555556,,,,yes
2,formal_easy_ransom_notes_without,6577b990de34621ce896bc7d,easy_ransom_notes,0,1,0,1,Yes,Student specializing in IT-related fields.,6,3,3,5,1,2.666666667,4,1,,0.782608696,1,0.75862069,0.916666667,,
2,formal_easy_ransom_notes_without,65a54520efb432c2831d10d6,easy_ransom_notes,0,0.1,0,0,Yes,Others.,0,1,2,2,5,8,4,0,YES,0.25,0.055555556,,,"{""3"":[1,10]}",yes
2,formal_easy_ransom_notes_without,65abd7494c8491a1bb90411a,easy_ransom_notes,0,0.1,0,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",5,0,4,1,3,8.333333333,2.5,0,,0.230769231,0.333333333,0,0,,
2,formal_easy_ransom_notes_without,65c64b9b090c48be1380151a,easy_ransom_notes,1,1,0.1,0.1,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",2,2,3,3,3,1,9,1,,0.375,0.166666667,0,0,,
2,formal_easy_ransom_notes_without,661747a10840d7553533cda1,easy_ransom_notes,1,0,1,0,Yes,Student specializing in IT-related fields.,2,1,4,3,2,6.333333333,7,1,,0.363636364,0.222222222,0,0,,
2,formal_easy_remove_duplicates_with,65bff2b433274138661c174a,easy_remove_duplicates,0,0.1,0,0,No,Others.,1,1,1,3,5,4,3.5,0,,0.090909091,0.083333333,,,,yes
1,formal_easy_remove_duplicates_with,5929c96027ea400001301061,easy_remove_duplicates,0.1,1,0,0,Yes,Others.,10+,10+,3,3,2,3.333333333,8,1,,1,1,1,1,,
1,formal_easy_remove_duplicates_with,5ee890fabb763018d1ad774e,easy_remove_duplicates,1,0,1,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",5,3,4,4,1,4.666666667,6,1,,0.5,0.5,0.875,0.777777778,"{""2"":[1,0],""3"":[1,1]}",
1,formal_easy_remove_duplicates_with,5f209641ae86003b679bb43f,easy_remove_duplicates,0.1,1,0.1,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",1,1,3,3,4,1.333333333,9,1,,1,1,1,1,,
1,formal_easy_remove_duplicates_with,60f801efc0846c47e4e755e6,easy_remove_duplicates,0.1,1,0,0,Yes,Student specializing in IT-related fields.,1,2,2,3,2,2,8,1,,1,1,1,1,,
1,formal_easy_remove_duplicates_with,610299d092eb1df29a1c88b6,easy_remove_duplicates,0.1,0.1,0.1,0,Yes,Others.,1,0,1,4,5,5.333333333,9.5,0,,0.333333333,0.083333333,,,,yes
2,formal_easy_remove_duplicates_with,5c3872541736360001471ca0,easy_remove_duplicates,1,0.1,1,1,Yes,Student specializing in IT-related fields.,5,1,3,4,2,3,6,1,,0.571428571,0.666666667,1,1,,
2,formal_easy_remove_duplicates_with,5cabf58293e29a0016018c30,easy_remove_duplicates,1,1,0,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",3,1,3,2,4,3,5,1,,0.444444444,1,0.409090909,1,,
2,formal_easy_remove_duplicates_with,6016bbe3a28c6014fd3236b8,easy_remove_duplicates,1,1,0,1,Yes,Others.,3,1,2,2,3,2.666666667,7.5,1,,1,1,1,1,,
2,formal_easy_remove_duplicates_with,60be6b60d4a12f2ce4c806f2,easy_remove_duplicates,0.1,1,0,0,Yes,Others.,0,0,2,2,2,3,6,1,,0.916666667,0.916666667,1,1,,
2,formal_easy_remove_duplicates_with,611d1b663a5c2ab412850a1c,easy_remove_duplicates,0,1,0,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",5,5,3,3,3,6.666666667,8,1,,0.388888889,0.583333333,1,1,,
2,formal_easy_remove_duplicates_with,6558c7f10f613d860aab3125,easy_remove_duplicates,0,0.1,0,0,Yes,Student specializing in IT-related fields.,2,2,3,4,3,2,7.5,0,,0.176470588,0.25,0.458333333,0.611111111,,
2,formal_easy_remove_duplicates_with,661747a10840d7553533cda1,easy_remove_duplicates,1,1,0.1,1,Yes,Student specializing in IT-related fields.,4,1,3,2,2,5.666666667,8,1,,0.333333333,0.333333333,0.8,0.666666667,,
2,formal_easy_remove_duplicates_with,661ab3f1726772ace6c6a6cb,easy_remove_duplicates,0,0.1,0,0,Yes,Student specializing in IT-related fields.,4,1,2,3,3,4,4.5,0,YES,0,0,,,"{""3"":[1,5]}",yes
2,formal_easy_remove_duplicates_with,66269e82eb93d0ae74c5d344,easy_remove_duplicates,1,1,0,0,Yes,Student specializing in IT-related fields.,1,1,2,2,3,6,8,1,,0.333333333,0.416666667,0.476190476,0.555555556,,
1,formal_easy_remove_duplicates_without,60f7c71d1cffec381351b0b3,easy_remove_duplicates,0.1,0,0,0,No,Others.,0,1,1,4,5,6.666666667,8.5,0,,0.090909091,0.083333333,,,,yes
1,formal_easy_remove_duplicates_without,65d5b28658b48e4435f182d0,easy_remove_duplicates,0.1,0.1,0.1,0,No,Others.,0,0,1,2,5,3.666666667,8.5,0,,0.916666667,0.916666667,1,1,,
1,formal_easy_remove_duplicates_without,60315645c8c7420a2f1ade9c,easy_remove_duplicates,0.1,0,0,0,Yes,Others.,1,1,2,3,5,7.333333333,8,0,,0.5,0.083333333,,,,yes
1,formal_easy_remove_duplicates_without,64622d2c6d50562c9b68e0c1,easy_remove_duplicates,1,1,1,1,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",3,1,3,2,2,1,6,1,,0.5,0.666666667,1,1,,
1,formal_easy_remove_duplicates_without,65257c1a7780ceee7f6ef9bd,easy_remove_duplicates,1,0.1,0,0,Yes,Student specializing in IT-related fields.,2,2,2,3,2,1.333333333,6.5,1,YES,0.333333333,0.333333333,1,1,"{""3"":[1,3],""4"":[1,0]}",
2,formal_easy_remove_duplicates_without,5dfb75507caa1e89ad5df828,easy_remove_duplicates,1,0,0,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",8,2,4,3,4,7.666666667,7.5,1,,0.818181818,0.75,0.8,0.666666667,,
2,formal_easy_remove_duplicates_without,60cdfc43f84c4e243fb375d8,easy_remove_duplicates,0.1,1,0,1,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",3,3,3,4,5,4.333333333,8,1,,0.916666667,0.916666667,1,1,,
2,formal_easy_remove_duplicates_without,60f4ac44348aacd594c61bb5,easy_remove_duplicates,0.1,0,0,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",2,2,2,2,5,7.666666667,8.5,0,,0,0,0,0,,yes
2,formal_easy_remove_duplicates_without,612610d67c8362f227b74c44,easy_remove_duplicates,0.1,1,0,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",8,6,3,3,4,3,6.5,1,YES,0.272727273,0.25,0.461538462,0.333333333,"{""3"":[1,4]}",
2,formal_easy_remove_duplicates_without,6159e83b6407a6d5345d3b99,easy_remove_duplicates,1,1,0,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",9,10,4,4,3,9,9,1,,0.357142857,0.416666667,1,1,,
2,formal_easy_remove_duplicates_without,652598cfa67d3941c6e6c31c,easy_remove_duplicates,1,1,0,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",3,2,3,3,2,7.666666667,4.5,1,,0.307692308,0.333333333,1,1,,
2,formal_easy_remove_duplicates_without,65a96f2c5e9b2019bd4dc2bc,easy_remove_duplicates,0.1,0.1,0,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",5,4,3,3,2,2,9,0,,0.25,0.083333333,0,0,,
2,formal_easy_remove_duplicates_without,66027ecb57ff798269b84a2a,easy_remove_duplicates,1,1,0,0,Yes,Student specializing in IT-related fields.,2,3,4,4,2,1.333333333,8.5,1,,0.375,0.5,1,1,,
2,formal_easy_remove_duplicates_without,661f84bf573acf3a4825c023,easy_remove_duplicates,0,0,0,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",3,4,5,5,1,0,10,-1,,0.142857143,0.083333333,0,0,,
1,formal_hard_longest_valid_parenthesis_with,653fb764c9aed77c01457531,hard_longest_valid_parenthesis,0.1,1,0,0,I don't know,Others.,0,0,2,1,4,1.333333333,8.5,1,,1,1,1,1,,
1,formal_hard_longest_valid_parenthesis_with,6544fee5e7e367fee0b57cde,hard_longest_valid_parenthesis,0.1,0,0,0,I don't know,Others.,1,1,2,2,4,1,8.5,0,,0.222222222,0.117647059,0,0,"{""2"":[1,4]}",yes
2,formal_hard_longest_valid_parenthesis_with,6165b90ba777ab8d6428cecc,hard_longest_valid_parenthesis,0,0.1,0,0,No,Student specializing in IT-related fields.,0,0,2,2,4,4.333333333,8,0,YES,0.25,0.058823529,0,0,"{""3"":[2,6],""4"":[3,3]}",yes
1,formal_hard_longest_valid_parenthesis_with,5e92f375c570bc00080b2a79,hard_longest_valid_parenthesis,1,1,0,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",3,3,3,4,2,2.333333333,3.5,1,YES,0.272727273,0.529411765,0.120689655,0.28,"{""3"":[1,3]}",
1,formal_hard_longest_valid_parenthesis_with,655cb963a808c9bbd81fcaa1,hard_longest_valid_parenthesis,0.1,0.1,0,0,Yes,Others.,1,1,2,3,4,8.333333333,7,0,,0.222222222,0.117647059,0,0,"{""3"":[1,2]}",yes
1,formal_hard_longest_valid_parenthesis_with,6612d5576f3d2a793497ffa3,hard_longest_valid_parenthesis,0.1,0,0.1,0,Yes,Others.,1,0,2,2,2,6,3.5,0,YES,1,1,1,1,"{""3"":[1,7]}",
2,formal_hard_longest_valid_parenthesis_with,5b9b1de4d2599000010fb247,hard_longest_valid_parenthesis,0.1,1,0,1,Yes,Others.,1,2,2,3,3,5,5.5,1,YES,1,1,1,1,"{""3"":[2,5]}",
2,formal_hard_longest_valid_parenthesis_with,5cfaab352e080000016ec742,hard_longest_valid_parenthesis,0.1,1,0.1,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",8,5,4,4,2,8,8,1,,1,1,1,1,,
2,formal_hard_longest_valid_parenthesis_with,5df6304773d724428a9cff45,hard_longest_valid_parenthesis,1,0,0.1,1,Yes,Student specializing in IT-related fields.,6,1,3,2,2,6.666666667,6,1,,0.764705882,0.764705882,0.84,0.84,,
2,formal_hard_longest_valid_parenthesis_with,60fd528cbd7f31e9b838efa5,hard_longest_valid_parenthesis,0,0.1,0,0,Yes,Student specializing in IT-related fields.,3,1,3,2,4,7.666666667,7.5,0,,0.4375,0.411764706,0,0,,
2,formal_hard_longest_valid_parenthesis_with,61300c2d5a36876db1251ff5,hard_longest_valid_parenthesis,0,0,0,0,Yes,Others.,3,2,4,3,4,2,7.5,-1,,0.571428571,0.470588235,0.666666667,0.56,,
2,formal_hard_longest_valid_parenthesis_with,6148bf90e4a4620ca010c833,hard_longest_valid_parenthesis,0.1,0.1,0,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",1,1,2,2,4,3,7,0,,0.25,0.117647059,0.807692308,0.84,,
2,formal_hard_longest_valid_parenthesis_with,614d8fbb82f1d17aa02851fa,hard_longest_valid_parenthesis,0,0.1,0,0.1,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",4,4,4,4,4,2,9,0,,0.166666667,0.058823529,,,,yes
2,formal_hard_longest_valid_parenthesis_with,627bbf69ab2788507bc421a2,hard_longest_valid_parenthesis,0.1,1,0,1,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",4,0,4,1,2,2.333333333,5.5,1,,1,1,1,1,,
2,formal_hard_longest_valid_parenthesis_with,647985db31c9c45669d8b50f,hard_longest_valid_parenthesis,0,1,0,0,Yes,"Professional specializing in IT (developer, testing engineer, operations engineer, etc).",10,10,5,5,3,1.333333333,9,1,,1,1,1,1,,
2,formal_hard_longest_valid_parenthesis_without,6023df50d5c2d7069115de3f,hard_longest_valid_parenthesis,0.1,0.1,0.1,0,I don't know,Others.,2,2,2,2,5,8.333333333,8.5,0,,0.333333333,0.117647059,,,,yes
